participant_id,image_id,face_view,question_type,response,timestamp
200,1 (163),left,trust_rating,9,2025-08-26T11:26:10.647134
200,1 (163),left,masc_choice,neither,2025-08-26T11:26:10.647134
200,1 (163),left,fem_choice,neither,2025-08-26T11:26:10.647134
200,1 (163),left,emotion_rating,9,2025-08-26T11:26:10.647134
200,1 (163),left,trust_q2,nan,2025-08-26T11:26:10.647134
200,1 (163),left,trust_q3,nan,2025-08-26T11:26:10.647134
200,1 (163),left,pers_q1,nan,2025-08-26T11:26:10.647134
200,1 (163),left,pers_q2,nan,2025-08-26T11:26:10.647134
200,1 (163),left,pers_q3,nan,2025-08-26T11:26:10.647134
200,1 (163),left,pers_q4,nan,2025-08-26T11:26:10.647134
200,1 (163),left,pers_q5,nan,2025-08-26T11:26:10.647134
200,1 (163),right,trust_rating,1,2025-08-26T11:26:10.647134
200,1 (163),right,masc_choice,neither,2025-08-26T11:26:10.647134
200,1 (163),right,fem_choice,neither,2025-08-26T11:26:10.647134
200,1 (163),right,emotion_rating,1,2025-08-26T11:26:10.647134
200,1 (163),right,trust_q2,nan,2025-08-26T11:26:10.647134
200,1 (163),right,trust_q3,nan,2025-08-26T11:26:10.647134
200,1 (163),right,pers_q1,nan,2025-08-26T11:26:10.647134
200,1 (163),right,pers_q2,nan,2025-08-26T11:26:10.647134
200,1 (163),right,pers_q3,nan,2025-08-26T11:26:10.647134
200,1 (163),right,pers_q4,nan,2025-08-26T11:26:10.647134
200,1 (163),right,pers_q5,nan,2025-08-26T11:26:10.647134
200,1 (163),full,trust_rating,6,2025-08-26T11:26:18.789374
200,1 (163),full,masc_choice,right,2025-08-26T11:26:18.789374
200,1 (163),full,fem_choice,left,2025-08-26T11:26:18.789374
200,1 (163),full,emotion_rating,4,2025-08-26T11:26:18.789374
200,1 (163),full,trust_q2,nan,2025-08-26T11:26:18.789374
200,1 (163),full,trust_q3,nan,2025-08-26T11:26:18.789374
200,1 (163),full,pers_q1,nan,2025-08-26T11:26:18.789374
200,1 (163),full,pers_q2,nan,2025-08-26T11:26:18.789374
200,1 (163),full,pers_q3,nan,2025-08-26T11:26:18.789374
200,1 (163),full,pers_q4,nan,2025-08-26T11:26:18.789374
200,1 (163),full,pers_q5,nan,2025-08-26T11:26:18.789374
